,Unnamed: 0,name,time,month,day,hourly_temperature(albany),hourly_wind_speed(albany),AWT26_Power(albany),AWP_200_Power(albany),D2CF_200_Power(albany),AN_Bonus_150/30_Power(albany),Aria_20_Power(albany),WWD-1_D64_Power(albany),solar(albany),Solar_AllMax(albany),Solar_TrinaSolar(albany),Solar_Mitsubishi(albany),Solar_FirstSolar(albany)
0,26277,"ALBANY INTERNATIONAL AIRPORT, NY US",1,1,1,-4.1,3.6,22.50370335,23.18107967,52.77584246,33.68057482,6.010685865,284.7621852,0,0,0,0,0
1,26278,"ALBANY INTERNATIONAL AIRPORT, NY US",2,1,1,-4.2,3.6,22.50370335,23.18107967,52.77584246,33.68057482,6.010685865,284.7621852,0,0,0,0,0
2,26279,"ALBANY INTERNATIONAL AIRPORT, NY US",3,1,1,-4.4,3.5,19.23958318,19.87906742,48.84790505,30.22607446,5.689709663,264.7432082,0,0,0,0,0
3,26280,"ALBANY INTERNATIONAL AIRPORT, NY US",4,1,1,-4.5,3.6,22.50370335,23.18107967,52.77584246,33.68057482,6.010685865,284.7621852,0,0,0,0,0
4,26281,"ALBANY INTERNATIONAL AIRPORT, NY US",5,1,1,-4.7,3.6,22.50370335,23.18107967,52.77584246,33.68057482,6.010685865,284.7621852,0,0,0,0,0
5,26282,"ALBANY INTERNATIONAL AIRPORT, NY US",6,1,1,-4.8,3.6,22.50370335,23.18107967,52.77584246,33.68057482,6.010685865,284.7621852,0,0,0,0,0
6,26283,"ALBANY INTERNATIONAL AIRPORT, NY US",7,1,1,-4.8,3.5,19.23958318,19.87906742,48.84790505,30.22607446,5.689709663,264.7432082,0,0,0,0,0
7,26284,"ALBANY INTERNATIONAL AIRPORT, NY US",8,1,1,-4.8,3.6,22.50370335,23.18107967,52.77584246,33.68057482,6.010685865,284.7621852,3,0.9867321,1.101850845,0.822258103,1.430742459
8,26285,"ALBANY INTERNATIONAL AIRPORT, NY US",9,1,1,-4.1,3.9,33.64856969,33.60712409,64.44172817,44.67848638,6.987302854,345.8103039,21,6.8766579,7.678934655,5.729634553,9.970218759
9,26286,"ALBANY INTERNATIONAL AIRPORT, NY US",10,1,1,-3.3,4.4,56.62885803,51.38016858,85.28024813,63.6788006,8.673749071,459.0465644,42,13.6830456,15.27940092,11.39888321,19.83667534
10,26287,"ALBANY INTERNATIONAL AIRPORT, NY US",11,1,1,-2.4,4.6,67.24562421,58.21329757,94.51673223,71.05860332,9.371990891,509.6986682,338,106.2483396,118.6439792,88.30358371,153.8178237
