,Unnamed: 0,name,time,month,day,hourly_temperature(binghamton),hourly_wind_speed(binghamton),AWT26_Power(binghamton),AWP_200_Power(binghamton),D2CF_200_Power(binghamton),AN_Bonus_150/30_Power(binghamton),Aria_20_Power(binghamton),WWD-1_D64_Power(binghamton),solar(binghamton),Solar_AllMax(binghamton),Solar_TrinaSolar(binghamton),Solar_Mitsubishi(binghamton),Solar_FirstSolar(binghamton)
0,43795,"BINGHAMTON GREATER AP, NY US",1,1,1,-4.3,4.4,56.62885803,51.38016858,85.28024813,63.6788006,8.673749071,459.0465644,0,0,0,0,0
1,43796,"BINGHAMTON GREATER AP, NY US",2,1,1,-4.4,4.3,51.61130982,47.87576789,80.87296278,59.90957411,8.329796459,434.8765876,0,0,0,0,0
2,43797,"BINGHAMTON GREATER AP, NY US",3,1,1,-4.6,4.3,51.61130982,47.87576789,80.87296278,59.90957411,8.329796459,434.8765876,0,0,0,0,0
3,43798,"BINGHAMTON GREATER AP, NY US",4,1,1,-4.7,4.2,46.79856325,44.32977404,76.59965939,56.10674826,7.989283278,411.5025427,0,0,0,0,0
4,43799,"BINGHAMTON GREATER AP, NY US",5,1,1,-4.8,4.3,51.61130982,47.87576789,80.87296278,59.90957411,8.329796459,434.8765876,0,0,0,0,0
5,43800,"BINGHAMTON GREATER AP, NY US",6,1,1,-4.8,4.3,51.61130982,47.87576789,80.87296278,59.90957411,8.329796459,434.8765876,0,0,0,0,0
6,43801,"BINGHAMTON GREATER AP, NY US",7,1,1,-4.9,4.4,56.62885803,51.38016858,85.28024813,63.6788006,8.673749071,459.0465644,0,0,0,0,0
7,43802,"BINGHAMTON GREATER AP, NY US",8,1,1,-4.9,4.3,51.61130982,47.87576789,80.87296278,59.90957411,8.329796459,434.8765876,3,0.9870831,1.102242795,0.822550603,1.431251409
8,43803,"BINGHAMTON GREATER AP, NY US",9,1,1,-4.5,4.4,56.62885803,51.38016858,85.28024813,63.6788006,8.673749071,459.0465644,21,6.8864859,7.689909255,5.737824553,9.984469359
9,43804,"BINGHAMTON GREATER AP, NY US",10,1,1,-3.8,4.8,78.5706381,64.75022452,104.2971055,78.15235194,10.08333992,563.0249605,42,13.7076156,15.30683742,11.41935821,19.87230184
10,43805,"BINGHAMTON GREATER AP, NY US",11,1,1,-3.2,5.1,96.66653463,73.91745428,119.7720449,88.13475966,11.17046599,646.1155501,338,106.5647076,118.9972568,88.56722371,154.2765573
11,43806,"BINGHAMTON GREATER AP, NY US",12,1,1,-2.6,5.1,96.66653463,73.91745428,119.7720449,88.13475966,11.17046599,646.1155501,440,136.83912,152.803684,113.631485,198.006171
12,43807,"BINGHAMTON GREATER AP, NY US",13,1,1,-2.2,5.2,102.9347791,76.80153631,125.0631233,91.27421963,11.5365411,674.0537455,434,134.8614204,150.5952528,111.9942669,195.1496271
