,Unnamed: 0,name,time,month,day,hourly_temperature(nyc),hourly_wind_speed(nyc),AWT26_Power(nyc),AWP_200_Power(nyc),D2CF_200_Power(nyc),AN_Bonus_150/30_Power(nyc),Aria_20_Power(nyc),WWD-1_D64_Power(nyc),solar(nyc),Solar_AllMax(nyc),Solar_TrinaSolar(nyc),Solar_Mitsubishi(nyc),Solar_FirstSolar(nyc)
0,0,"LA GUARDIA AIRPORT, NY US",1,1,1,1.4,5.6,128.7303897,87.59593475,146.1581855,102.911209,13.00315804,782.440766,0,0,0,0,0
1,1,"LA GUARDIA AIRPORT, NY US",2,1,1,1.2,5.6,128.7303897,87.59593475,146.1581855,102.911209,13.00315804,782.440766,0,0,0,0,0
2,2,"LA GUARDIA AIRPORT, NY US",3,1,1,1.1,5.5,122.2102089,84.99428752,140.955951,100.1345012,12.63761635,756.2032684,0,0,0,0,0
3,3,"LA GUARDIA AIRPORT, NY US",4,1,1,0.9,5.5,122.2102089,84.99428752,140.955951,100.1345012,12.63761635,756.2032684,0,0,0,0,0
4,4,"LA GUARDIA AIRPORT, NY US",5,1,1,0.8,5.5,122.2102089,84.99428752,140.955951,100.1345012,12.63761635,756.2032684,0,0,0,0,0
5,5,"LA GUARDIA AIRPORT, NY US",6,1,1,0.7,5.4,115.7248562,82.33347313,135.6851398,97.27176167,12.27081405,729.2754121,0,0,0,0,0
6,6,"LA GUARDIA AIRPORT, NY US",7,1,1,0.7,5.4,115.7248562,82.33347313,135.6851398,97.27176167,12.27081405,729.2754121,0,0,0,0,0
7,7,"LA GUARDIA AIRPORT, NY US",8,1,1,0.8,5.5,122.2102089,84.99428752,140.955951,100.1345012,12.63761635,756.2032684,3,0.9670761,1.079901645,0.805878103,1.402241259
8,8,"LA GUARDIA AIRPORT, NY US",9,1,1,1.2,5.8,141.7963738,92.66103118,156.2307373,108.224217,13.7270137,832.1766794,21,6.7464369,7.533521205,5.621117053,9.781398309
9,9,"LA GUARDIA AIRPORT, NY US",10,1,1,1.6,5.8,141.7963738,92.66103118,156.2307373,108.224217,13.7270137,832.1766794,42,13.4422596,15.01052322,11.19822821,19.48753564
10,10,"LA GUARDIA AIRPORT, NY US",11,1,1,2.2,6,154.7628541,97.61463072,165.6586178,113.2488463,14.43505769,877.2603303,338,104.4292236,116.612633,86.78765371,151.1801055
