,Unnamed: 0,name,time,month,day,hourly_temperature(rochester),hourly_wind_speed(rochester),AWT26_Power(rochester),AWP_200_Power(rochester),D2CF_200_Power(rochester),AN_Bonus_150/30_Power(rochester),Aria_20_Power(rochester),WWD-1_D64_Power(rochester),solar(rochester),Solar_AllMax(rochester),Solar_TrinaSolar(rochester),Solar_Mitsubishi(rochester),Solar_FirstSolar(rochester)
0,35036,"ROCHESTER GREATER INTERNATIONAL, NY US",1,1,1,-2.9,4.6,67.24562421,58.21329757,94.51673223,71.05860332,9.371990891,509.6986681,0,0,0,0,0
1,35037,"ROCHESTER GREATER INTERNATIONAL, NY US",2,1,1,-3.1,4.4,56.62885803,51.38016858,85.28024813,63.6788006,8.673749071,459.0465644,0,0,0,0,0
2,35038,"ROCHESTER GREATER INTERNATIONAL, NY US",3,1,1,-3.2,4.5,61.84334514,54.82968686,89.82782807,67.39941603,9.021162565,484.0009095,0,0,0,0,0
3,35039,"ROCHESTER GREATER INTERNATIONAL, NY US",4,1,1,-3.3,4.3,51.61130982,47.87576789,80.87296278,59.90957411,8.329796459,434.8765876,0,0,0,0,0
4,35040,"ROCHESTER GREATER INTERNATIONAL, NY US",5,1,1,-3.3,4.4,56.62885803,51.38016858,85.28024813,63.6788006,8.673749071,459.0465644,0,0,0,0,0
5,35041,"ROCHESTER GREATER INTERNATIONAL, NY US",6,1,1,-3.4,4.5,61.84334514,54.82968686,89.82782807,67.39941603,9.021162565,484.0009095,0,0,0,0,0
6,35042,"ROCHESTER GREATER INTERNATIONAL, NY US",7,1,1,-3.4,4.5,61.84334514,54.82968686,89.82782807,67.39941603,9.021162565,484.0009095,0,0,0,0,0
7,35043,"ROCHESTER GREATER INTERNATIONAL, NY US",8,1,1,-3.4,4.5,61.84334514,54.82968686,89.82782807,67.39941603,9.021162565,484.0009095,3,0.9818181,1.096363545,0.818163103,1.423617159
8,35044,"ROCHESTER GREATER INTERNATIONAL, NY US",9,1,1,-3,4.7,72.82527672,61.52228058,99.34283835,74.64573902,9.7261152,536.071292,21,6.8496309,7.648754505,5.707112053,9.931029609
9,35045,"ROCHESTER GREATER INTERNATIONAL, NY US",10,1,1,-2.4,5.1,96.66653463,73.91745428,119.7720449,88.13475966,11.17046599,646.1155501,42,13.6388196,15.23001522,11.36202821,19.77254764
10,35046,"ROCHESTER GREATER INTERNATIONAL, NY US",11,1,1,-1.7,5.4,115.7248562,82.33347313,135.6851398,97.27176167,12.27081405,729.2754121,338,105.9715176,118.3348613,88.07289871,153.4164318
11,35047,"ROCHESTER GREATER INTERNATIONAL, NY US",12,1,1,-1.2,5.6,128.7303897,87.59593475,146.1581855,102.911209,13.00315804,782.440766,440,136.1184,151.99888,113.030885,196.961127
12,35048,"ROCHESTER GREATER INTERNATIONAL, NY US",13,1,1,-0.8,5.8,141.7963738,92.66103118,156.2307373,108.224217,13.7270137,832.1766794,434,134.1505284,149.8014234,111.4018569,194.1188337
13,35049,"ROCHESTER GREATER INTERNATIONAL, NY US",14,1,1,-0.7,5.5,122.2102089,84.99428752,140.955951,100.1345012,12.63761635,756.2032684,282,88.6384656,98.97961992,73.70062421,128.3571345
14,35050,"ROCHESTER GREATER INTERNATIONAL, NY US",15,1,1,-0.7,5.4,115.7248562,82.33347313,135.6851398,97.27176167,12.27081405,729.2754121,96,30.8015424,34.39505568,25.6488576,44.6426928
15,35051,"ROCHESTER GREATER INTERNATIONAL, NY US",16,1,1,-0.9,5.1,96.66653463,73.91745428,119.7720449,88.13475966,11.17046599,646.1155501,124,39.6924744,44.32326308,33.04520485,57.52148115
16,35052,"ROCHESTER GREATER INTERNATIONAL, NY US",17,1,1,-1.4,4.8,78.5706381,64.75022452,104.2971055,78.15235194,10.08333992,563.0249605,11,3.5711709,3.987807505,2.975725053,5.177941209
17,35053,"ROCHESTER GREATER INTERNATIONAL, NY US",18,1,1,-1.8,4.6,67.24562421,58.21329757,94.51673223,71.05860332,9.371990891,509.6986681,0,0,0,0,0
