,index,Year,Month,Day,Hour,Consumption
0,0,2020,1,1,1,15417
1,315,2020,1,1,2,14891
2,630,2020,1,1,3,14506
3,945,2020,1,1,4,14226
4,1260,2020,1,1,5,14211
5,1575,2020,1,1,6,14404
6,1890,2020,1,1,7,14789
7,2205,2020,1,1,8,15135
8,2520,2020,1,1,9,15476
9,2835,2020,1,1,10,15945
10,3150,2020,1,1,11,16280
11,3465,2020,1,1,12,16675
12,3780,2020,1,1,13,17147
13,4095,2020,1,1,14,17331
14,4410,2020,1,1,15,17429
15,4725,2020,1,1,16,17569
16,5040,2020,1,1,17,18263
17,5355,2020,1,1,18,19149
18,5670,2020,1,1,19,19052
19,5985,2020,1,1,20,18766
20,6300,2020,1,1,21,18344
21,6615,2020,1,1,22,17726
22,6930,2020,1,1,23,16786
23,7245,2020,1,1,24,15799
24,1,2020,1,2,1,15082
25,316,2020,1,2,2,14666
26,631,2020,1,2,3,14481
27,946,2020,1,2,4,14400
28,1261,2020,1,2,5,14661
29,1576,2020,1,2,6,15458
30,1891,2020,1,2,7,16907
31,2206,2020,1,2,8,18067
32,2521,2020,1,2,9,18467
33,2836,2020,1,2,10,18503
34,3151,2020,1,2,11,18299
35,3466,2020,1,2,12,18023
36,3781,2020,1,2,13,17835
37,4096,2020,1,2,14,18061
38,4411,2020,1,2,15,18219
39,4726,2020,1,2,16,18421
40,5041,2020,1,2,17,19099
41,5356,2020,1,2,18,19989
42,5671,2020,1,2,19,19837
43,5986,2020,1,2,20,19395
44,6301,2020,1,2,21,18766
45,6616,2020,1,2,22,17930
46,6931,2020,1,2,23,16783
47,7246,2020,1,2,24,15636
48,2,2020,1,3,1,14772
49,317,2020,1,3,2,14219
50,632,2020,1,3,3,13922
51,947,2020,1,3,4,13810
52,1262,2020,1,3,5,13997
53,1577,2020,1,3,6,14742
54,1892,2020,1,3,7,16154
55,2207,2020,1,3,8,17387
56,2522,2020,1,3,9,17981
57,2837,2020,1,3,10,18406
58,3152,2020,1,3,11,18701
59,3467,2020,1,3,12,18732
60,3782,2020,1,3,13,18654
61,4097,2020,1,3,14,18647
62,4412,2020,1,3,15,18594
63,4727,2020,1,3,16,18592
64,5042,2020,1,3,17,19072
65,5357,2020,1,3,18,19572
66,5672,2020,1,3,19,19247
67,5987,2020,1,3,20,18754
68,6302,2020,1,3,21,18224
69,6617,2020,1,3,22,17457
70,6932,2020,1,3,23,16458
71,7247,2020,1,3,24,15387
