,index,Year,Month,Day,Hour,Consumption
0,0,2020,1,1,1,15417.0
1,315,2020,1,1,2,14891.0
2,630,2020,1,1,3,14506.0
3,945,2020,1,1,4,14226.0
4,1260,2020,1,1,5,14211.0
5,1575,2020,1,1,6,14404.0
6,1890,2020,1,1,7,14789.0
7,2205,2020,1,1,8,15135.0
8,2520,2020,1,1,9,15476.0
9,2835,2020,1,1,10,15945.0
10,3150,2020,1,1,11,16280.0
11,3465,2020,1,1,12,16675.0
12,3780,2020,1,1,13,17147.0
13,4095,2020,1,1,14,17331.0
14,4410,2020,1,1,15,17429.0
15,4725,2020,1,1,16,17569.0
16,5040,2020,1,1,17,18263.0
17,5355,2020,1,1,18,19149.0
18,5670,2020,1,1,19,19052.0
19,5985,2020,1,1,20,18766.0
20,6300,2020,1,1,21,18344.0
21,6615,2020,1,1,22,17726.0
22,6930,2020,1,1,23,16786.0
23,7245,2020,1,1,24,15799.0
24,1,2020,1,2,1,15082.0
25,316,2020,1,2,2,14666.0
26,631,2020,1,2,3,14481.0
27,946,2020,1,2,4,14400.0
28,1261,2020,1,2,5,14661.0
29,1576,2020,1,2,6,15458.0
30,1891,2020,1,2,7,16907.0
31,2206,2020,1,2,8,18067.0
32,2521,2020,1,2,9,18467.0
33,2836,2020,1,2,10,18503.0
34,3151,2020,1,2,11,18299.0
35,3466,2020,1,2,12,18023.0
36,3781,2020,1,2,13,17835.0
37,4096,2020,1,2,14,18061.0
38,4411,2020,1,2,15,18219.0
39,4726,2020,1,2,16,18421.0
40,5041,2020,1,2,17,19099.0
41,5356,2020,1,2,18,19989.0
42,5671,2020,1,2,19,19837.0
43,5986,2020,1,2,20,19395.0
44,6301,2020,1,2,21,18766.0
45,6616,2020,1,2,22,17930.0
46,6931,2020,1,2,23,16783.0
47,7246,2020,1,2,24,15636.0
48,2,2020,1,3,1,14772.0
49,317,2020,1,3,2,14219.0
50,632,2020,1,3,3,13922.0
51,947,2020,1,3,4,13810.0
52,1262,2020,1,3,5,13997.0
53,1577,2020,1,3,6,14742.0
54,1892,2020,1,3,7,16154.0
55,2207,2020,1,3,8,17387.0
56,2522,2020,1,3,9,17981.0
57,2837,2020,1,3,10,18406.0
58,3152,2020,1,3,11,18701.0
59,3467,2020,1,3,12,18732.0
60,3782,2020,1,3,13,18654.0
61,4097,2020,1,3,14,18647.0
62,4412,2020,1,3,15,18594.0
63,4727,2020,1,3,16,18592.0
64,5042,2020,1,3,17,19072.0
65,5357,2020,1,3,18,19572.0
66,5672,2020,1,3,19,19247.0
67,5987,2020,1,3,20,18754.0
68,6302,2020,1,3,21,18224.0
69,6617,2020,1,3,22,17457.0
70,6932,2020,1,3,23,16458.0
71,7247,2020,1,3,24,15387.0
72,3,2020,1,4,1,14600.0
73,318,2020,1,4,2,14026.0
74,633,2020,1,4,3,13701.0
75,948,2020,1,4,4,13538.0
76,1263,2020,1,4,5,13563.0
77,1578,2020,1,4,6,13860.0
78,1893,2020,1,4,7,14432.0
79,2208,2020,1,4,8,15192.0
80,2523,2020,1,4,9,15930.0
81,2838,2020,1,4,10,16713.0
82,3153,2020,1,4,11,17238.0
83,3468,2020,1,4,12,17504.0
84,3783,2020,1,4,13,17514.0
85,4098,2020,1,4,14,17439.0
86,4413,2020,1,4,15,17306.0
87,4728,2020,1,4,16,17357.0
88,5043,2020,1,4,17,17894.0
89,5358,2020,1,4,18,18489.0
90,5673,2020,1,4,19,18396.0
91,5988,2020,1,4,20,18040.0
92,6303,2020,1,4,21,17735.0
93,6618,2020,1,4,22,17225.0
94,6933,2020,1,4,23,16491.0
95,7248,2020,1,4,24,15696.0
96,4,2020,1,5,1,14755.0
97,319,2020,1,5,2,14212.0
98,634,2020,1,5,3,14073.0
99,949,2020,1,5,4,13961.0
100,1264,2020,1,5,5,13992.0
101,1579,2020,1,5,6,14252.0
102,1894,2020,1,5,7,14712.0
103,2209,2020,1,5,8,15301.0
104,2524,2020,1,5,9,15958.0
105,2839,2020,1,5,10,16567.0
106,3154,2020,1,5,11,16811.0
107,3469,2020,1,5,12,16957.0
108,3784,2020,1,5,13,17078.0
109,4099,2020,1,5,14,17103.0
110,4414,2020,1,5,15,17226.0
111,4729,2020,1,5,16,17600.0
112,5044,2020,1,5,17,18444.0
113,5359,2020,1,5,18,19519.0
114,5674,2020,1,5,19,19436.0
115,5989,2020,1,5,20,19118.0
116,6304,2020,1,5,21,18669.0
117,6619,2020,1,5,22,17935.0
118,6934,2020,1,5,23,16924.0
119,7249,2020,1,5,24,15937.0
120,5,2020,1,6,1,15244.0
121,320,2020,1,6,2,14855.0
122,635,2020,1,6,3,14607.0
123,950,2020,1,6,4,14552.0
124,1265,2020,1,6,5,14841.0
125,1580,2020,1,6,6,15797.0
126,1895,2020,1,6,7,17456.0
127,2210,2020,1,6,8,18741.0
128,2525,2020,1,6,9,19182.0
129,2840,2020,1,6,10,19544.0
130,3155,2020,1,6,11,19602.0
131,3470,2020,1,6,12,19291.0
132,3785,2020,1,6,13,18943.0
133,4100,2020,1,6,14,18971.0
134,4415,2020,1,6,15,18851.0
135,4730,2020,1,6,16,19012.0
136,5045,2020,1,6,17,19667.0
137,5360,2020,1,6,18,20631.0
138,5675,2020,1,6,19,20527.0
139,5990,2020,1,6,20,20151.0
140,6305,2020,1,6,21,19532.0
141,6620,2020,1,6,22,18665.0
142,6935,2020,1,6,23,17440.0
143,7250,2020,1,6,24,16252.0
144,6,2020,1,7,1,15400.0
145,321,2020,1,7,2,14958.0
146,636,2020,1,7,3,14739.0
147,951,2020,1,7,4,14719.0
148,1266,2020,1,7,5,14979.0
149,1581,2020,1,7,6,15940.0
150,1896,2020,1,7,7,17625.0
151,2211,2020,1,7,8,18904.0
152,2526,2020,1,7,9,19197.0
153,2841,2020,1,7,10,19170.0
154,3156,2020,1,7,11,19076.0
155,3471,2020,1,7,12,19016.0
156,3786,2020,1,7,13,19014.0
157,4101,2020,1,7,14,19013.0
158,4416,2020,1,7,15,18949.0
159,4731,2020,1,7,16,19187.0
160,5046,2020,1,7,17,19898.0
161,5361,2020,1,7,18,20609.0
162,5676,2020,1,7,19,20501.0
163,5991,2020,1,7,20,20105.0
164,6306,2020,1,7,21,19513.0
165,6621,2020,1,7,22,18594.0
166,6936,2020,1,7,23,17382.0
167,7251,2020,1,7,24,16242.0
168,7,2020,1,8,1,15448.0
169,322,2020,1,8,2,15022.0
170,637,2020,1,8,3,14762.0
171,952,2020,1,8,4,14736.0
172,1267,2020,1,8,5,14998.0
173,1582,2020,1,8,6,15897.0
174,1897,2020,1,8,7,17562.0
175,2212,2020,1,8,8,18813.0
176,2527,2020,1,8,9,19110.0
177,2842,2020,1,8,10,19258.0
178,3157,2020,1,8,11,19200.0
179,3472,2020,1,8,12,19160.0
180,3787,2020,1,8,13,19133.0
181,4102,2020,1,8,14,19035.0
182,4417,2020,1,8,15,19165.0
183,4732,2020,1,8,16,19588.0
184,5047,2020,1,8,17,20380.0
185,5362,2020,1,8,18,21466.0
186,5677,2020,1,8,19,21502.0
187,5992,2020,1,8,20,21182.0
188,6307,2020,1,8,21,20599.0
189,6622,2020,1,8,22,19767.0
190,6937,2020,1,8,23,18534.0
191,7252,2020,1,8,24,17458.0
192,8,2020,1,9,1,16709.0
193,323,2020,1,9,2,16295.0
194,638,2020,1,9,3,16051.0
195,953,2020,1,9,4,16018.0
196,1268,2020,1,9,5,16302.0
197,1583,2020,1,9,6,17212.0
198,1898,2020,1,9,7,18966.0
199,2213,2020,1,9,8,20171.0
200,2528,2020,1,9,9,20345.0
201,2843,2020,1,9,10,20143.0
202,3158,2020,1,9,11,19899.0
203,3473,2020,1,9,12,19645.0
204,3788,2020,1,9,13,19518.0
