,DATE,HOUR_MIN,SD_WS,AVE_SWS,AVE_RWS,AVE_RWD,WD_SD,AVE_BP,AVE_TEMP,AVE_RH,AVE_GSW,AVE_DSW,AVE_NETR,AVE_GPAR,AVE_DPAR,MIN_TEMP,MIN_TEMT,MIN_RH,MIN_RHT,MIN_GSW,MIN_DSW,MIN_NETR,MIN_GPAR,MIN_DPAR,MAX_WS,MAX_WST,MAX_TEMP,MAX_TEMT,MAX_RH,MAX_RHT,MAX_GSW,MAX_GSWT,MAX_DSW,MAX_DSWT,MAX_NETR,MAX_NETT,MAX_GPAR,MAX_GPAT,MAX_DPAR,MAX_DPAT,TOT_NETR,TOT_GSW,TOT_DSW,TOT_GPAR,TOT_DPAR
271752,2019-01-01,100,,1.625,1.507,147.6,21.67,744.2,4.8,100.0,0.0,0.0,-1.0,0.0,0.0,4.4,12.0,100.0,0.0,0.0,0.0,-1.0,0.0,0.0,4.7,59.0,5.2,59.0,100.0,0.0,0.0,44.0,0.0,23.0,0.0,12.0,0.2,32.0,0.2,32.0,,0.144,0.054,3e-06,0.0
271753,2019-01-01,200,,2.246,2.138,153.1,17.77,742.2,5.4,100.0,0.0,0.0,0.0,0.0,0.0,5.2,100.0,100.0,100.0,0.0,0.0,-1.0,0.0,0.0,7.0,108.0,5.7,143.0,100.0,100.0,0.0,149.0,0.0,123.0,2.0,157.0,0.1,133.0,0.3,122.0,,0.187,0.029,2e-06,0.0
271754,2019-01-01,300,,1.135,0.751,345.3,44.72,740.9,5.2,100.0,0.0,0.0,2.0,0.0,0.0,4.9,242.0,100.0,200.0,0.0,0.0,1.0,0.0,0.0,2.8,247.0,5.7,205.0,100.0,200.0,0.0,215.0,0.0,247.0,3.0,219.0,0.1,201.0,0.0,200.0,,0.358,0.078,1e-06,0.0
271755,2019-01-01,400,,1.03,0.458,274.3,59.83,740.3,5.1,100.0,0.0,0.0,1.0,0.0,0.0,5.0,319.0,100.0,300.0,0.0,0.0,1.0,0.0,0.0,2.5,315.0,5.3,358.0,100.0,300.0,0.0,340.0,0.0,332.0,2.0,359.0,0.1,343.0,0.0,300.0,,0.337,0.003,0.0,0.0
271756,2019-01-01,500,,1.112,0.956,189.5,27.6,739.5,5.9,100.0,0.0,0.0,2.0,0.0,0.0,5.2,410.0,100.0,400.0,0.0,0.0,1.0,0.0,0.0,4.0,450.0,6.9,458.0,100.0,400.0,0.0,455.0,1.0,435.0,2.0,431.0,0.1,411.0,0.0,400.0,,0.073,0.366,2e-06,0.0
271757,2019-01-01,600,,1.721,1.609,196.8,20.63,739.3,7.2,100.0,0.0,0.0,2.0,0.0,0.0,6.8,500.0,100.0,500.0,0.0,0.0,1.0,0.0,0.0,4.9,551.0,7.5,559.0,100.0,500.0,0.0,534.0,0.0,558.0,2.0,528.0,0.1,530.0,0.0,500.0,,0.154,0.016,2e-06,0.0
271758,2019-01-01,700,,1.768,1.706,203.4,15.2,739.2,8.0,100.0,0.0,0.0,1.0,0.0,0.0,7.5,600.0,100.0,600.0,0.0,0.0,-3.0,0.0,0.0,5.9,659.0,8.6,659.0,100.0,600.0,0.0,629.0,0.0,655.0,2.0,621.0,0.1,606.0,0.0,600.0,,0.153,0.246,7.000000000000001e-06,0.0
271759,2019-01-01,800,,1.259,0.676,193.4,54.35,739.7,8.9,100.0,3.0,3.0,0.0,4.3,4.0,8.6,706.0,100.0,700.0,0.0,0.0,-9.0,0.0,0.0,3.5,709.0,9.2,746.0,100.0,700.0,12.0,759.0,12.0,800.0,7.0,800.0,17.6,800.0,18.6,800.0,,10.24,9.46,0.01556,0.014219999999999998
271760,2019-01-01,900,,1.814,1.551,221.7,30.8,740.5,9.3,100.0,21.0,21.0,12.0,29.3,27.2,8.8,805.0,100.0,800.0,8.0,8.0,3.0,12.1,12.0,5.2,851.0,9.7,859.0,100.0,800.0,36.0,834.0,37.0,833.0,22.0,834.0,50.2,833.0,51.3,833.0,,74.59,69.55,0.105304,0.09792000000000001
271761,2019-01-01,1000,,1.298,1.107,298.6,31.03,742.0,9.6,100.0,42.0,44.0,22.0,62.1,60.8,9.5,906.0,100.0,900.0,18.0,19.0,10.0,27.1,28.2,2.8,959.0,9.7,953.0,100.0,900.0,69.0,923.0,73.0,923.0,37.0,920.0,97.7,923.0,101.7,923.0,,151.6,146.0,0.22361399999999998,0.21871999999999997
271762,2019-01-01,1100,,4.363,4.038,308.0,22.13,743.7,10.1,79.735,338.0,70.0,163.0,436.9,135.9,9.0,1013.0,59.0,1100.0,52.0,48.0,8.0,81.0,86.9,11.4,1013.0,11.0,1059.0,100.0,1000.0,524.0,1057.0,159.0,1057.0,278.0,1057.0,699.9,1057.0,423.2,1013.0,,1215.0,231.2,1.572918,0.48911000000000004
271763,2019-01-01,1200,,4.071,3.819,309.5,20.16,745.1,10.2,62.55,440.0,163.0,235.0,596.8,240.5,9.2,1136.0,55.0,1150.0,151.0,62.0,60.0,205.3,117.9,10.1,1133.0,10.9,1103.0,70.0,1128.0,614.0,1147.0,231.0,1147.0,352.0,1145.0,869.0,1135.0,368.1,1152.0,,1584.0,539.4,2.148453,0.86567
271764,2019-01-01,1300,,4.951,4.624,313.3,20.8,745.8,9.1,56.735,434.0,192.0,235.0,623.3,278.2,8.4,1241.0,51.0,1259.0,248.0,55.0,138.0,357.5,109.0,11.3,1207.0,10.1,1200.0,62.0,1214.0,641.0,1221.0,264.0,1249.0,368.0,1250.0,933.0,1236.0,404.4,1230.0,,1561.0,633.2,2.243897,1.0014100000000001
