,name,time,month,day,hourly_temperature,hourly_wind_speed
43795,"BINGHAMTON GREATER AP, NY US",01,01,01,-4.3,4.4
43796,"BINGHAMTON GREATER AP, NY US",02,01,01,-4.4,4.3
43797,"BINGHAMTON GREATER AP, NY US",03,01,01,-4.6,4.3
43798,"BINGHAMTON GREATER AP, NY US",04,01,01,-4.7,4.2
43799,"BINGHAMTON GREATER AP, NY US",05,01,01,-4.8,4.3
43800,"BINGHAMTON GREATER AP, NY US",06,01,01,-4.8,4.3
43801,"BINGHAMTON GREATER AP, NY US",07,01,01,-4.9,4.4
43802,"BINGHAMTON GREATER AP, NY US",08,01,01,-4.9,4.3
43803,"BINGHAMTON GREATER AP, NY US",09,01,01,-4.5,4.4
43804,"BINGHAMTON GREATER AP, NY US",10,01,01,-3.8,4.8
43805,"BINGHAMTON GREATER AP, NY US",11,01,01,-3.2,5.1
43806,"BINGHAMTON GREATER AP, NY US",12,01,01,-2.6,5.1
43807,"BINGHAMTON GREATER AP, NY US",13,01,01,-2.2,5.2
43808,"BINGHAMTON GREATER AP, NY US",14,01,01,-1.9,5.1
43809,"BINGHAMTON GREATER AP, NY US",15,01,01,-1.9,5.1
43810,"BINGHAMTON GREATER AP, NY US",16,01,01,-2.2,4.7
43811,"BINGHAMTON GREATER AP, NY US",17,01,01,-2.7,4.4
43812,"BINGHAMTON GREATER AP, NY US",18,01,01,-3.1,4.4
43813,"BINGHAMTON GREATER AP, NY US",19,01,01,-3.3,4.5
43814,"BINGHAMTON GREATER AP, NY US",20,01,01,-3.6,4.4
43815,"BINGHAMTON GREATER AP, NY US",21,01,01,-3.8,4.5
43816,"BINGHAMTON GREATER AP, NY US",22,01,01,-3.9,4.5
43817,"BINGHAMTON GREATER AP, NY US",23,01,01,-4.1,4.4
43818,"BINGHAMTON GREATER AP, NY US",24,01,02,-4.9,4.5
43819,"BINGHAMTON GREATER AP, NY US",01,01,02,-4.4,4.4
43820,"BINGHAMTON GREATER AP, NY US",02,01,02,-4.6,4.4
43821,"BINGHAMTON GREATER AP, NY US",03,01,02,-4.7,4.4
43822,"BINGHAMTON GREATER AP, NY US",04,01,02,-4.8,4.2
43823,"BINGHAMTON GREATER AP, NY US",05,01,02,-4.8,4.3
43824,"BINGHAMTON GREATER AP, NY US",06,01,02,-4.9,4.3
43825,"BINGHAMTON GREATER AP, NY US",07,01,02,-5.0,4.4
43826,"BINGHAMTON GREATER AP, NY US",08,01,02,-5.0,4.3
43827,"BINGHAMTON GREATER AP, NY US",09,01,02,-4.6,4.4
43828,"BINGHAMTON GREATER AP, NY US",10,01,02,-3.9,4.9
43829,"BINGHAMTON GREATER AP, NY US",11,01,02,-3.2,5.1
43830,"BINGHAMTON GREATER AP, NY US",12,01,02,-2.7,5.2
43831,"BINGHAMTON GREATER AP, NY US",13,01,02,-2.2,5.2
43832,"BINGHAMTON GREATER AP, NY US",14,01,02,-1.9,5.2
43833,"BINGHAMTON GREATER AP, NY US",15,01,02,-1.9,5.1
43834,"BINGHAMTON GREATER AP, NY US",16,01,02,-2.2,4.7
43835,"BINGHAMTON GREATER AP, NY US",17,01,02,-2.8,4.4
43836,"BINGHAMTON GREATER AP, NY US",18,01,02,-3.2,4.4
43837,"BINGHAMTON GREATER AP, NY US",19,01,02,-3.4,4.4
43838,"BINGHAMTON GREATER AP, NY US",20,01,02,-3.6,4.4
43839,"BINGHAMTON GREATER AP, NY US",21,01,02,-3.8,4.5
43840,"BINGHAMTON GREATER AP, NY US",22,01,02,-4.0,4.4
43841,"BINGHAMTON GREATER AP, NY US",23,01,02,-4.2,4.4
43842,"BINGHAMTON GREATER AP, NY US",24,01,03,-4.9,4.4
43843,"BINGHAMTON GREATER AP, NY US",01,01,03,-4.4,4.4
43844,"BINGHAMTON GREATER AP, NY US",02,01,03,-4.6,4.4
43845,"BINGHAMTON GREATER AP, NY US",03,01,03,-4.7,4.4
43846,"BINGHAMTON GREATER AP, NY US",04,01,03,-4.8,4.2
43847,"BINGHAMTON GREATER AP, NY US",05,01,03,-4.9,4.3
43848,"BINGHAMTON GREATER AP, NY US",06,01,03,-4.9,4.3
43849,"BINGHAMTON GREATER AP, NY US",07,01,03,-5.1,4.3
43850,"BINGHAMTON GREATER AP, NY US",08,01,03,-5.1,4.2
43851,"BINGHAMTON GREATER AP, NY US",09,01,03,-4.6,4.3
43852,"BINGHAMTON GREATER AP, NY US",10,01,03,-3.9,4.8
43853,"BINGHAMTON GREATER AP, NY US",11,01,03,-3.3,5.0
43854,"BINGHAMTON GREATER AP, NY US",12,01,03,-2.7,5.1
43855,"BINGHAMTON GREATER AP, NY US",13,01,03,-2.3,5.1
43856,"BINGHAMTON GREATER AP, NY US",14,01,03,-2.0,5.1
43857,"BINGHAMTON GREATER AP, NY US",15,01,03,-2.0,5.1
43858,"BINGHAMTON GREATER AP, NY US",16,01,03,-2.3,4.7
43859,"BINGHAMTON GREATER AP, NY US",17,01,03,-2.8,4.4
43860,"BINGHAMTON GREATER AP, NY US",18,01,03,-3.2,4.4
43861,"BINGHAMTON GREATER AP, NY US",19,01,03,-3.5,4.4
43862,"BINGHAMTON GREATER AP, NY US",20,01,03,-3.7,4.4
43863,"BINGHAMTON GREATER AP, NY US",21,01,03,-3.9,4.5
43864,"BINGHAMTON GREATER AP, NY US",22,01,03,-4.1,4.5
43865,"BINGHAMTON GREATER AP, NY US",23,01,03,-4.2,4.4
43866,"BINGHAMTON GREATER AP, NY US",24,01,04,-4.9,4.5
43867,"BINGHAMTON GREATER AP, NY US",01,01,04,-4.5,4.4
43868,"BINGHAMTON GREATER AP, NY US",02,01,04,-4.6,4.4
43869,"BINGHAMTON GREATER AP, NY US",03,01,04,-4.8,4.4
43870,"BINGHAMTON GREATER AP, NY US",04,01,04,-4.9,4.3
43871,"BINGHAMTON GREATER AP, NY US",05,01,04,-4.9,4.3
43872,"BINGHAMTON GREATER AP, NY US",06,01,04,-5.0,4.3
43873,"BINGHAMTON GREATER AP, NY US",07,01,04,-5.1,4.4
43874,"BINGHAMTON GREATER AP, NY US",08,01,04,-5.1,4.3
43875,"BINGHAMTON GREATER AP, NY US",09,01,04,-4.7,4.4
43876,"BINGHAMTON GREATER AP, NY US",10,01,04,-4.0,4.9
43877,"BINGHAMTON GREATER AP, NY US",11,01,04,-3.3,5.1
43878,"BINGHAMTON GREATER AP, NY US",12,01,04,-2.8,5.2
43879,"BINGHAMTON GREATER AP, NY US",13,01,04,-2.4,5.2
43880,"BINGHAMTON GREATER AP, NY US",14,01,04,-2.1,5.1
43881,"BINGHAMTON GREATER AP, NY US",15,01,04,-2.1,5.1
43882,"BINGHAMTON GREATER AP, NY US",16,01,04,-2.4,4.7
43883,"BINGHAMTON GREATER AP, NY US",17,01,04,-2.9,4.5
43884,"BINGHAMTON GREATER AP, NY US",18,01,04,-3.3,4.4
43885,"BINGHAMTON GREATER AP, NY US",19,01,04,-3.6,4.4
43886,"BINGHAMTON GREATER AP, NY US",20,01,04,-3.8,4.4
43887,"BINGHAMTON GREATER AP, NY US",21,01,04,-4.1,4.5
43888,"BINGHAMTON GREATER AP, NY US",22,01,04,-4.2,4.5
43889,"BINGHAMTON GREATER AP, NY US",23,01,04,-4.3,4.4
43890,"BINGHAMTON GREATER AP, NY US",24,01,05,-5.1,4.6
43891,"BINGHAMTON GREATER AP, NY US",01,01,05,-4.6,4.5
43892,"BINGHAMTON GREATER AP, NY US",02,01,05,-4.7,4.4
43893,"BINGHAMTON GREATER AP, NY US",03,01,05,-4.8,4.5
43894,"BINGHAMTON GREATER AP, NY US",04,01,05,-5.0,4.3
43895,"BINGHAMTON GREATER AP, NY US",05,01,05,-5.1,4.4
43896,"BINGHAMTON GREATER AP, NY US",06,01,05,-5.1,4.4
43897,"BINGHAMTON GREATER AP, NY US",07,01,05,-5.2,4.4
43898,"BINGHAMTON GREATER AP, NY US",08,01,05,-5.2,4.3
43899,"BINGHAMTON GREATER AP, NY US",09,01,05,-4.8,4.4
43900,"BINGHAMTON GREATER AP, NY US",10,01,05,-4.1,4.9
43901,"BINGHAMTON GREATER AP, NY US",11,01,05,-3.4,5.1
43902,"BINGHAMTON GREATER AP, NY US",12,01,05,-2.9,5.1
43903,"BINGHAMTON GREATER AP, NY US",13,01,05,-2.5,5.2
43904,"BINGHAMTON GREATER AP, NY US",14,01,05,-2.2,5.1
43905,"BINGHAMTON GREATER AP, NY US",15,01,05,-2.2,5.1
43906,"BINGHAMTON GREATER AP, NY US",16,01,05,-2.4,4.7
43907,"BINGHAMTON GREATER AP, NY US",17,01,05,-3.1,4.4
43908,"BINGHAMTON GREATER AP, NY US",18,01,05,-3.4,4.4
43909,"BINGHAMTON GREATER AP, NY US",19,01,05,-3.7,4.4
43910,"BINGHAMTON GREATER AP, NY US",20,01,05,-3.9,4.5
43911,"BINGHAMTON GREATER AP, NY US",21,01,05,-4.1,4.5
43912,"BINGHAMTON GREATER AP, NY US",22,01,05,-4.3,4.5
43913,"BINGHAMTON GREATER AP, NY US",23,01,05,-4.4,4.4
43914,"BINGHAMTON GREATER AP, NY US",24,01,06,-5.2,4.5
43915,"BINGHAMTON GREATER AP, NY US",01,01,06,-4.7,4.4
43916,"BINGHAMTON GREATER AP, NY US",02,01,06,-4.8,4.4
43917,"BINGHAMTON GREATER AP, NY US",03,01,06,-4.9,4.5
43918,"BINGHAMTON GREATER AP, NY US",04,01,06,-5.1,4.3
43919,"BINGHAMTON GREATER AP, NY US",05,01,06,-5.1,4.4
43920,"BINGHAMTON GREATER AP, NY US",06,01,06,-5.2,4.4
43921,"BINGHAMTON GREATER AP, NY US",07,01,06,-5.3,4.5
43922,"BINGHAMTON GREATER AP, NY US",08,01,06,-5.3,4.3
43923,"BINGHAMTON GREATER AP, NY US",09,01,06,-4.8,4.5
43924,"BINGHAMTON GREATER AP, NY US",10,01,06,-4.2,4.9
43925,"BINGHAMTON GREATER AP, NY US",11,01,06,-3.6,5.1
43926,"BINGHAMTON GREATER AP, NY US",12,01,06,-3.0,5.2
43927,"BINGHAMTON GREATER AP, NY US",13,01,06,-2.6,5.2
43928,"BINGHAMTON GREATER AP, NY US",14,01,06,-2.3,5.2
43929,"BINGHAMTON GREATER AP, NY US",15,01,06,-2.3,5.2
43930,"BINGHAMTON GREATER AP, NY US",16,01,06,-2.6,4.8
43931,"BINGHAMTON GREATER AP, NY US",17,01,06,-3.2,4.5
43932,"BINGHAMTON GREATER AP, NY US",18,01,06,-3.6,4.4
43933,"BINGHAMTON GREATER AP, NY US",19,01,06,-3.8,4.4
43934,"BINGHAMTON GREATER AP, NY US",20,01,06,-4.1,4.5
43935,"BINGHAMTON GREATER AP, NY US",21,01,06,-4.3,4.5
43936,"BINGHAMTON GREATER AP, NY US",22,01,06,-4.4,4.5
43937,"BINGHAMTON GREATER AP, NY US",23,01,06,-4.6,4.4
43938,"BINGHAMTON GREATER AP, NY US",24,01,07,-5.5,4.5
43939,"BINGHAMTON GREATER AP, NY US",01,01,07,-4.9,4.4
43940,"BINGHAMTON GREATER AP, NY US",02,01,07,-5.0,4.4
43941,"BINGHAMTON GREATER AP, NY US",03,01,07,-5.1,4.5
43942,"BINGHAMTON GREATER AP, NY US",04,01,07,-5.2,4.3
43943,"BINGHAMTON GREATER AP, NY US",05,01,07,-5.3,4.3
43944,"BINGHAMTON GREATER AP, NY US",06,01,07,-5.3,4.3
43945,"BINGHAMTON GREATER AP, NY US",07,01,07,-5.4,4.4
43946,"BINGHAMTON GREATER AP, NY US",08,01,07,-5.4,4.3
