,name,time,month,day,hourly_temperature,hourly_wind_speed
8759,"BUFFALO NIAGARA INTERNATIONAL, NY US",01,01,01,-2.8,5.2
8760,"BUFFALO NIAGARA INTERNATIONAL, NY US",02,01,01,-3.0,5.1
8761,"BUFFALO NIAGARA INTERNATIONAL, NY US",03,01,01,-3.1,5.1
8762,"BUFFALO NIAGARA INTERNATIONAL, NY US",04,01,01,-3.1,5.1
8763,"BUFFALO NIAGARA INTERNATIONAL, NY US",05,01,01,-3.2,5.1
8764,"BUFFALO NIAGARA INTERNATIONAL, NY US",06,01,01,-3.2,5.1
8765,"BUFFALO NIAGARA INTERNATIONAL, NY US",07,01,01,-3.3,5.2
8766,"BUFFALO NIAGARA INTERNATIONAL, NY US",08,01,01,-3.4,5.2
8767,"BUFFALO NIAGARA INTERNATIONAL, NY US",09,01,01,-3.2,5.4
8768,"BUFFALO NIAGARA INTERNATIONAL, NY US",10,01,01,-2.6,5.6
8769,"BUFFALO NIAGARA INTERNATIONAL, NY US",11,01,01,-1.9,5.8
8770,"BUFFALO NIAGARA INTERNATIONAL, NY US",12,01,01,-1.5,6.1
8771,"BUFFALO NIAGARA INTERNATIONAL, NY US",13,01,01,-1.2,6.2
8772,"BUFFALO NIAGARA INTERNATIONAL, NY US",14,01,01,-1.1,6.2
8773,"BUFFALO NIAGARA INTERNATIONAL, NY US",15,01,01,-1.1,6.1
8774,"BUFFALO NIAGARA INTERNATIONAL, NY US",16,01,01,-1.2,5.9
8775,"BUFFALO NIAGARA INTERNATIONAL, NY US",17,01,01,-1.6,5.7
8776,"BUFFALO NIAGARA INTERNATIONAL, NY US",18,01,01,-1.9,5.5
8777,"BUFFALO NIAGARA INTERNATIONAL, NY US",19,01,01,-2.1,5.4
8778,"BUFFALO NIAGARA INTERNATIONAL, NY US",20,01,01,-2.3,5.5
8779,"BUFFALO NIAGARA INTERNATIONAL, NY US",21,01,01,-2.4,5.4
8780,"BUFFALO NIAGARA INTERNATIONAL, NY US",22,01,01,-2.5,5.4
