,name,time,month,day,hourly_temperature,hourly_wind_speed
35036,"ROCHESTER GREATER INTERNATIONAL, NY US",01,01,01,-2.9,4.6
35037,"ROCHESTER GREATER INTERNATIONAL, NY US",02,01,01,-3.1,4.4
35038,"ROCHESTER GREATER INTERNATIONAL, NY US",03,01,01,-3.2,4.5
35039,"ROCHESTER GREATER INTERNATIONAL, NY US",04,01,01,-3.3,4.3
35040,"ROCHESTER GREATER INTERNATIONAL, NY US",05,01,01,-3.3,4.4
35041,"ROCHESTER GREATER INTERNATIONAL, NY US",06,01,01,-3.4,4.5
35042,"ROCHESTER GREATER INTERNATIONAL, NY US",07,01,01,-3.4,4.5
35043,"ROCHESTER GREATER INTERNATIONAL, NY US",08,01,01,-3.4,4.5
35044,"ROCHESTER GREATER INTERNATIONAL, NY US",09,01,01,-3.0,4.7
35045,"ROCHESTER GREATER INTERNATIONAL, NY US",10,01,01,-2.4,5.1
35046,"ROCHESTER GREATER INTERNATIONAL, NY US",11,01,01,-1.7,5.4
35047,"ROCHESTER GREATER INTERNATIONAL, NY US",12,01,01,-1.2,5.6
35048,"ROCHESTER GREATER INTERNATIONAL, NY US",13,01,01,-0.8,5.8
35049,"ROCHESTER GREATER INTERNATIONAL, NY US",14,01,01,-0.7,5.5
35050,"ROCHESTER GREATER INTERNATIONAL, NY US",15,01,01,-0.7,5.4
35051,"ROCHESTER GREATER INTERNATIONAL, NY US",16,01,01,-0.9,5.1
35052,"ROCHESTER GREATER INTERNATIONAL, NY US",17,01,01,-1.4,4.8
35053,"ROCHESTER GREATER INTERNATIONAL, NY US",18,01,01,-1.8,4.6
35054,"ROCHESTER GREATER INTERNATIONAL, NY US",19,01,01,-2.1,4.6
35055,"ROCHESTER GREATER INTERNATIONAL, NY US",20,01,01,-2.3,4.6
35056,"ROCHESTER GREATER INTERNATIONAL, NY US",21,01,01,-2.4,4.6
35057,"ROCHESTER GREATER INTERNATIONAL, NY US",22,01,01,-2.6,4.6
35058,"ROCHESTER GREATER INTERNATIONAL, NY US",23,01,01,-2.7,4.5
35059,"ROCHESTER GREATER INTERNATIONAL, NY US",24,01,02,-3.6,4.6
35060,"ROCHESTER GREATER INTERNATIONAL, NY US",01,01,02,-3.0,4.6
35061,"ROCHESTER GREATER INTERNATIONAL, NY US",02,01,02,-3.1,4.5
35062,"ROCHESTER GREATER INTERNATIONAL, NY US",03,01,02,-3.2,4.5
35063,"ROCHESTER GREATER INTERNATIONAL, NY US",04,01,02,-3.3,4.3
35064,"ROCHESTER GREATER INTERNATIONAL, NY US",05,01,02,-3.4,4.4
35065,"ROCHESTER GREATER INTERNATIONAL, NY US",06,01,02,-3.4,4.5
35066,"ROCHESTER GREATER INTERNATIONAL, NY US",07,01,02,-3.4,4.5
